modal,order,condtion,catch_trial,check1,request,prob_rating,workerid,audio,mood,seat,check2,text,image
probably,1,1,0,./stim/images/prob_100_1.png,./stim/text/text-2.png,0.62,0,./stim/audio/happy_probably2_s1.mp3,optimist,an aisle seat (blue),./stim/images/exposure_40_6.png,You'll probably get one.,./stim/images/exposure_40_6.png
probably,1,1,1,./stim/images/prob_100_1.png,./stim/text/text-1.png,0.6,0,./stim/audio/happy_probably1_s1.mp3,optimist,a window seat (red),./stim/images/exposure_60_1.png,You'll probably get one.,./stim/images/exposure_60_1.png
bare,0,1,1,./stim/images/prob_100_1.png,./stim/text/text-1.png,0.99,0,./stim/audio/happy_bare_s1.mp3,optimist,a window seat (red),./stim/images/exposure_60_1.png,You'll get one.,./stim/images/prob_100_1.png
bare,0,1,0,./stim/images/prob_100_1.png,./stim/text/text-1.png,1,0,./stim/audio/happy_bare_s1.mp3,optimist,a window seat (red),./stim/images/exposure_60_9.png,You'll get one.,./stim/images/prob_100_1.png
might,0,1,0,./stim/images/exposure_25_6.png,./stim/text/text-1.png,0.17,0,./stim/audio/happy_might1_s1.mp3,optimist,a window seat (red),./stim/images/exposure_90_6.png,You might get one.,./stim/images/exposure_25_6.png
probably,1,1,0,./stim/images/prob_100_1.png,./stim/text/text-1.png,0.5,0,./stim/audio/happy_probably1_s1.mp3,optimist,a window seat (red),./stim/images/exposure_60_6.png,You'll probably get one.,./stim/images/exposure_60_6.png
might,0,1,1,./stim/images/exposure_75_1.png,./stim/text/text-2.png,0.15,0,./stim/audio/happy_might2_s1.mp3,optimist,an aisle seat (blue),./stim/images/exposure_10_1.png,You might get one.,./stim/images/exposure_75_1.png
might,0,1,0,./stim/images/exposure_75_6.png,./stim/text/text-2.png,0.14,0,./stim/audio/happy_might2_s1.mp3,optimist,an aisle seat (blue),./stim/images/exposure_10_6.png,You might get one.,./stim/images/exposure_75_6.png
might,0,1,0,./stim/images/exposure_75_9.png,./stim/text/text-2.png,0.16,0,./stim/audio/happy_might2_s1.mp3,optimist,an aisle seat (blue),./stim/images/exposure_10_9.png,You might get one.,./stim/images/exposure_75_9.png
probably,1,1,1,./stim/images/prob_100_1.png,./stim/text/text-2.png,0.56,0,./stim/audio/happy_probably2_s1.mp3,optimist,an aisle seat (blue),./stim/images/exposure_40_1.png,You'll probably get one.,./stim/images/exposure_40_1.png
