check2,audio,order,seat,condtion,text,check1,prob_rating,request,modal,workerid,mood,catch_trial,image
./stim/images/exposure_60_2.png,./stim/audio/control_probably1_s2.mp3,1,a window seat (red),2,You'll probably get one.,./stim/images/prob_100_1.png,0.54,./stim/text/text-1.png,probably,0,control,0,./stim/images/exposure_60_2.png
./stim/images/prob_100_1.png,./stim/audio/control_probably1_s2.mp3,0,a window seat (red),2,You'll probably get one.,./stim/images/exposure_60_8.png,0.62,./stim/text/text-1.png,probably,0,control,1,./stim/images/exposure_60_8.png
./stim/images/prob_100_1.png,./stim/audio/control_probably1_s2.mp3,0,a window seat (red),2,You'll probably get one.,./stim/images/exposure_60_5.png,0.56,./stim/text/text-1.png,probably,0,control,0,./stim/images/exposure_60_5.png
./stim/images/prob_100_1.png,./stim/audio/control_bare_s2.mp3,1,a window seat (red),2,You'll get one.,./stim/images/exposure_60_5.png,0.91,./stim/text/text-1.png,bare,0,control,0,./stim/images/prob_100_1.png
./stim/images/prob_100_1.png,./stim/audio/control_probably2_s2.mp3,0,an aisle seat (blue),2,You'll probably get one.,./stim/images/exposure_40_5.png,0.35,./stim/text/text-2.png,probably,0,control,0,./stim/images/exposure_40_5.png
./stim/images/exposure_10_8.png,./stim/audio/control_might2_s2.mp3,0,an aisle seat (blue),2,You might get one.,./stim/images/exposure_75_8.png,0.13,./stim/text/text-2.png,might,0,control,1,./stim/images/exposure_75_8.png
./stim/images/exposure_75_5.png,./stim/audio/control_might2_s2.mp3,1,an aisle seat (blue),2,You might get one.,./stim/images/exposure_10_5.png,0.05,./stim/text/text-2.png,might,0,control,0,./stim/images/exposure_75_5.png
./stim/images/prob_100_1.png,./stim/audio/control_bare_s2.mp3,1,a window seat (red),2,You'll get one.,./stim/images/exposure_60_2.png,0.93,./stim/text/text-1.png,bare,0,control,0,./stim/images/prob_100_1.png
./stim/images/exposure_90_5.png,./stim/audio/control_might1_s2.mp3,0,a window seat (red),2,You might get one.,./stim/images/exposure_25_5.png,0.08,./stim/text/text-1.png,might,0,control,0,./stim/images/exposure_25_5.png
./stim/images/exposure_75_2.png,./stim/audio/control_might2_s2.mp3,1,an aisle seat (blue),2,You might get one.,./stim/images/exposure_10_2.png,0.06,./stim/text/text-2.png,might,0,control,0,./stim/images/exposure_75_2.png
./stim/images/exposure_25_8.png,./stim/audio/control_might1_s2.mp3,1,a window seat (red),2,You might get one.,./stim/images/exposure_90_8.png,0.09,./stim/text/text-1.png,might,0,control,1,./stim/images/exposure_25_8.png
./stim/images/prob_100_1.png,./stim/audio/control_probably2_s2.mp3,0,an aisle seat (blue),2,You'll probably get one.,./stim/images/exposure_40_8.png,0.85,./stim/text/text-2.png,probably,0,control,1,./stim/images/exposure_40_8.png
./stim/images/exposure_60_8.png,./stim/audio/control_bare_s2.mp3,0,a window seat (red),2,You'll get one.,./stim/images/prob_100_1.png,0.98,./stim/text/text-1.png,bare,0,control,1,./stim/images/prob_100_1.png
./stim/images/prob_100_1.png,./stim/audio/control_bare_s2.mp3,1,a window seat (red),2,You'll get one.,./stim/images/exposure_60_3.png,1,./stim/text/text-1.png,bare,1,control,0,./stim/images/prob_100_1.png
./stim/images/exposure_75_1.png,./stim/audio/control_might2_s2.mp3,1,an aisle seat (blue),2,You might get one.,./stim/images/exposure_10_1.png,0.32,./stim/text/text-2.png,might,1,control,0,./stim/images/exposure_75_1.png
./stim/images/exposure_40_3.png,./stim/audio/control_probably2_s2.mp3,1,an aisle seat (blue),2,You'll probably get one.,./stim/images/prob_100_1.png,0.49,./stim/text/text-2.png,probably,1,control,0,./stim/images/exposure_40_3.png
./stim/images/exposure_90_3.png,./stim/audio/control_might1_s2.mp3,0,a window seat (red),2,You might get one.,./stim/images/exposure_25_3.png,0.25,./stim/text/text-1.png,might,1,control,0,./stim/images/exposure_25_3.png
./stim/images/exposure_10_3.png,./stim/audio/control_might2_s2.mp3,0,an aisle seat (blue),2,You might get one.,./stim/images/exposure_75_3.png,0.12,./stim/text/text-2.png,might,1,control,0,./stim/images/exposure_75_3.png
./stim/images/prob_100_1.png,./stim/audio/control_bare_s2.mp3,1,a window seat (red),2,You'll get one.,./stim/images/exposure_60_1.png,1,./stim/text/text-1.png,bare,1,control,0,./stim/images/prob_100_1.png
./stim/images/exposure_60_2.png,./stim/audio/control_bare_s2.mp3,0,a window seat (red),2,You'll get one.,./stim/images/prob_100_1.png,1,./stim/text/text-1.png,bare,1,control,1,./stim/images/prob_100_1.png
./stim/images/exposure_40_2.png,./stim/audio/control_probably2_s2.mp3,1,an aisle seat (blue),2,You'll probably get one.,./stim/images/prob_100_1.png,0.54,./stim/text/text-2.png,probably,1,control,1,./stim/images/exposure_40_2.png
./stim/images/exposure_25_2.png,./stim/audio/control_might1_s2.mp3,1,a window seat (red),2,You might get one.,./stim/images/exposure_90_2.png,0.05,./stim/text/text-1.png,might,1,control,1,./stim/images/exposure_25_2.png
